timestamp,soil_2
2018-12-10 01:41:56.094926,567
2018-12-10 01:42:01.083170,567
2018-12-10 01:42:06.030916,566
2018-12-10 01:42:11.027232,566
2018-12-10 01:42:16.030536,567
2018-12-10 01:42:21.045405,567
2018-12-10 01:42:26.071345,567
2018-12-10 01:42:31.028409,568
2018-12-10 01:42:36.031581,567
2018-12-10 01:42:41.033117,565
2018-12-10 01:42:46.029231,566
2018-12-10 01:42:51.028128,565
2018-12-10 01:42:56.072012,566
2018-12-10 01:43:01.028775,565
2018-12-10 01:43:06.029490,565
2018-12-10 01:43:11.025323,565
2018-12-10 01:43:16.073564,566
2018-12-10 01:43:21.026930,566
2018-12-10 01:43:26.030211,566
2018-12-10 02:26:00.299360,576
2018-12-10 02:26:05.252994,575
2018-12-10 02:26:10.254853,576
2018-12-10 02:26:15.252323,575
2018-12-10 02:26:20.294931,575
2018-12-10 02:26:25.251976,575
2018-12-10 02:26:30.300205,575
2018-12-10 02:26:35.251090,575
2018-12-10 02:28:20.930089,574
2018-12-10 02:28:25.885304,574
2018-12-10 02:28:30.927174,575
2018-12-10 02:28:35.885562,574
2018-12-10 02:28:40.887412,574
2018-12-10 02:28:45.885584,575
2018-12-10 02:28:50.929948,576
2018-12-10 02:28:55.884953,575
2018-12-10 02:29:00.926908,576
2018-12-10 02:29:05.885919,575
2018-12-10 02:29:10.933334,575
2018-12-10 02:29:15.918778,575
2018-12-10 02:29:20.885699,574
2018-12-10 02:29:25.884862,575
2018-12-10 02:29:30.926267,574
2018-12-10 02:29:35.905408,575
2018-12-10 02:30:48.611493,575
2018-12-10 02:30:53.565704,577
2018-12-10 02:30:58.566670,577
2018-12-10 02:31:03.565463,576
2018-12-10 02:31:08.568398,576
2018-12-10 02:31:13.565913,576
2018-12-10 02:31:18.618324,577
2018-12-10 02:31:23.573837,575
2018-12-10 02:31:28.566158,575
2018-12-10 02:40:31.739228,574
2018-12-10 02:40:36.694906,574
2018-12-10 02:40:41.697227,575
2018-12-10 02:43:58.400183,591
2018-12-10 02:44:03.354585,591
2018-12-10 02:44:08.399308,591
2018-12-10 02:44:13.353498,591
2018-12-10 02:44:18.359484,591
2018-12-10 02:44:23.354105,591
2018-12-10 02:44:28.397675,590
2018-12-10 02:44:33.353836,591
2018-12-10 02:44:38.354301,591
2018-12-10 02:44:43.353668,591
2018-12-10 02:44:48.397920,590
2018-12-10 02:44:53.352623,590
2018-12-10 02:44:58.398344,591
2018-12-10 02:45:03.353356,591
2018-12-10 02:52:36.598307,591
2018-12-10 02:52:41.599326,590
2018-12-10 02:52:46.597920,590
2018-12-10 02:52:51.643353,590
2018-12-10 02:52:56.598724,590
2018-12-10 03:01:20.239614,588
2018-12-10 03:01:25.283301,588
2018-12-10 03:01:30.236645,588
2018-12-10 03:01:35.238100,588
2018-12-10 03:01:40.235248,588
2018-12-10 03:01:45.240344,589
2018-12-10 03:01:50.236041,589
2018-12-10 03:01:55.242930,589
2018-12-10 03:02:00.235714,589
2018-12-10 03:02:05.240423,588
2018-12-10 03:02:10.241184,588
2018-12-10 03:02:15.236318,588
2018-12-10 03:02:20.235276,588
2018-12-10 03:02:25.244663,589
2018-12-10 03:02:30.235531,589
2018-12-10 03:02:35.255659,589
2018-12-10 03:02:40.234980,589
2018-12-10 03:02:45.239512,589
2018-12-10 03:02:50.233676,589
2018-12-10 03:02:55.278742,589
2018-12-10 03:03:00.238058,589
2018-12-10 03:03:07.273136,588
2018-12-10 03:03:12.224389,589
2018-12-10 03:03:17.266618,589
2018-12-10 03:03:22.223448,589
2018-12-10 03:03:27.224259,589
2018-12-10 03:03:32.223535,588
2018-12-10 03:03:37.269587,588
2018-12-10 03:03:42.223411,588
2018-12-10 03:03:47.225132,588
2018-12-10 03:03:52.223391,588
2018-12-10 03:03:57.225141,588
2018-12-10 03:04:02.223557,588
2018-12-10 03:04:07.232665,588
2018-12-10 03:04:12.224634,588
2018-12-10 03:04:17.224589,589
2018-12-10 03:04:22.223442,589
2018-12-10 03:04:27.224446,589
2018-12-10 03:04:32.221611,589
2018-12-10 03:04:37.226664,589
2018-12-10 03:04:42.223873,589
2018-12-10 03:04:47.223652,589
2018-12-10 03:04:52.222564,589
