timestamp,water
2018-12-11 00:48:13.259045,0.0796
2018-12-11 00:51:28.253186,0.0796
2018-12-11 00:51:33.251739,0.0796
2018-12-11 00:51:38.249509,0.0796
2018-12-11 00:51:43.250985,0.0796
2018-12-11 00:51:48.293219,0.0796
2018-12-11 00:51:53.250766,0.0796
2018-12-11 01:45:05.096603,0.0799
2018-12-11 01:45:10.092205,0.0799
2018-12-11 01:45:15.143020,0.0799
2018-12-11 01:45:20.115808,0.0799
2018-12-11 01:45:25.093103,0.0799
2018-12-11 01:45:30.161082,0.0799
2018-12-11 01:45:35.093250,0.0799
2018-12-11 01:45:40.099087,0.0799
2018-12-11 01:45:45.093160,0.0799
2018-12-11 01:45:50.138426,0.0799
2018-12-11 01:45:55.092989,0.0799
2018-12-11 01:46:00.098587,0.0799
2018-12-11 01:46:05.092370,0.0799
2018-12-11 01:46:10.103959,0.0799
2018-12-11 01:46:15.092185,0.0799
2018-12-11 01:46:20.137065,0.0799
2018-12-11 01:46:25.095464,0.0799
2018-12-11 01:46:30.092380,0.0799
2018-12-11 01:46:35.092564,0.0799
2018-12-11 01:46:40.090341,0.0799
2018-12-11 01:46:45.091669,0.0799
2018-12-11 01:46:50.148433,0.0799
2018-12-11 01:46:55.140512,0.0799
2018-12-11 01:47:00.089843,0.0799
2018-12-11 01:47:05.091486,0.0799
2018-12-11 01:47:10.095859,0.0799
2018-12-11 01:47:15.091227,0.0799
2018-12-11 01:47:20.171868,0.0799
2018-12-11 01:47:25.093954,0.0799
2018-12-11 01:47:30.095147,0.0799
2018-12-11 01:47:35.092304,0.0799
2018-12-11 01:47:40.140272,0.0799
2018-12-11 01:47:45.090043,0.0799
2018-12-11 01:47:50.129295,0.0799
2018-12-11 01:47:55.090257,0.0799
2018-12-11 01:48:00.091100,0.0799
2018-12-11 01:48:05.124597,0.0799
2018-12-11 01:48:10.090004,0.0799
2018-12-11 01:48:15.089894,0.0799
2018-12-11 01:48:20.145052,0.0799
2018-12-11 01:48:25.088569,0.0799
2018-12-11 05:48:47.283119, 96.629
2018-12-11 05:48:52.257275, 96.600
2018-12-11 05:55:07.242903, 96.615
2018-12-11 05:55:12.243063, 96.629
2018-12-11 05:55:17.239983, 96.615
2018-12-11 05:55:22.240288, 96.615
2018-12-11 05:55:27.237883, 96.643
2018-12-11 05:55:32.239936, 96.615
2018-12-11 05:55:37.282330, 96.615
2018-12-11 05:59:02.237266, 98.440
2018-12-11 05:59:07.233763, 98.454
2018-12-11 05:59:12.235138, 98.469
2018-12-11 05:59:17.234054, 98.454
2018-12-11 05:59:22.235056, 98.454
2018-12-11 05:59:27.233206, 98.454
2018-12-11 05:59:32.234715, 98.454
2018-12-11 05:59:37.251627, 98.440
2018-12-11 05:59:42.237051, 98.440
2018-12-11 05:59:47.234338, 98.426
2018-12-11 05:59:52.234757, 98.454
2018-12-11 05:59:57.249708, 98.454
2018-12-11 06:00:02.233567, 98.469
2018-12-11 06:00:58.774089, 98.411
2018-12-11 06:01:03.772345, 98.426
2018-12-11 06:01:08.813558, 98.426
2018-12-11 06:01:13.772328, 98.440
2018-12-11 06:01:18.773036, 98.411
2018-12-11 06:01:23.772150, 98.426
2018-12-11 06:01:28.790663, 98.440
2018-12-11 06:01:33.773604, 98.440
2018-12-11 06:01:38.813362, 98.426
2018-12-11 06:01:43.771811, 98.426
2018-12-11 06:01:48.772563, 98.426
2018-12-11 06:01:53.771056, 98.440
2018-12-11 06:01:58.769661, 98.440
2018-12-11 06:02:03.770735, 98.426
2018-12-11 06:02:08.771011, 98.440
2018-12-11 06:25:08.026370, 95.709
2018-12-11 06:25:13.025131, 95.695
2018-12-11 06:26:08.026313, 95.695
2018-12-11 06:26:13.022403, 95.709
2018-12-11 06:26:53.022182, 95.695
2018-12-11 06:27:18.027725, 95.709
2018-12-11 06:27:23.021882, 95.695
2018-12-11 06:27:28.023194, 95.681
2018-12-11 06:27:33.020624, 95.681
2018-12-11 06:27:38.065145, 95.653
2018-12-11 06:27:43.020489, 95.695
2018-12-11 06:34:39.545095, 95.596
2018-12-11 06:34:44.543289, 95.596
2018-12-11 06:34:49.589704, 95.596
2018-12-11 06:34:54.543251, 95.610
2018-12-11 06:34:59.548136, 95.639
2018-12-11 06:35:05.166729, 95.540
2018-12-11 06:35:10.121697, 95.469
2018-12-11 06:35:15.124830, 95.526
2018-12-11 06:35:20.121830, 95.568
2018-12-11 06:38:00.156809, 95.582
2018-12-11 06:38:05.161470, 95.582
2018-12-11 06:38:10.117855, 95.554
2018-12-11 06:38:15.119328, 95.554
2018-12-11 06:40:50.114245, 95.526
2018-12-11 06:40:55.115859, 95.540
2018-12-11 06:41:00.114003, 95.540
2018-12-11 06:41:05.115958, 95.526
2018-12-11 06:41:10.113165, 95.526
2018-12-11 06:41:15.165889, 95.540
2018-12-11 06:41:20.113292, 95.540
2018-12-11 06:41:25.115516, 95.512
2018-12-11 06:41:30.112587, 95.498
2018-12-11 06:41:35.157310, 95.512
